restaurant_lat,restaurant_lon,customer_lat,customer_lon,restaurant_id,restaurant_rating,prep_time_minutes,order_timestamp,weather_condition,rider_id,rider_total_deliveries,rider_rating,actual_eta_minutes
28.58727005942368,77.02418449108002,28.764999155494984,77.18288674102331,REST_0000,3.9483680618066246,18,2025-09-06 18:04:06,cloudy,RIDER_0000,386,4.239465257834141,96.96687974271919
28.875357153204956,76.99974725773885,28.492255997799354,77.07557547212052,REST_0001,3.642226662743087,13,2025-10-22 13:51:06,clear,RIDER_0001,273,4.864718070717525,184.81383855365775
28.7659969709057,76.90569234750171,28.57331984718494,77.37869911491838,REST_0002,3.689538837458324,15,2025-11-08 21:59:06,clear,RIDER_0002,366,4.621528817358438,218.90522400938673
28.699329242098518,77.16436000206089,28.73164031842891,76.93138707059055,REST_0003,3.7710066922713827,33,2025-08-31 21:08:06,cloudy,RIDER_0003,872,4.414393130222991,128.4701968813021
28.47800932022122,77.08597449630518,28.64104467226224,77.15271384959937,REST_0004,3.8054800015474224,35,2025-09-18 18:28:06,cloudy,RIDER_0004,385,4.799386556367623,84.58221838509749
28.4779972601681,77.3194205953944,28.769285519317446,77.22012600899414,REST_0005,3.863392713815816,11,2025-10-03 20:04:06,cloudy,RIDER_0005,534,4.641709068895384,150.43158729079067
28.429041806084097,76.81926574828923,28.880603950611427,77.29533869360723,REST_0006,3.8831900434452415,10,2025-11-15 14:51:06,light_rain,RIDER_0006,325,4.872285209127479,205.68775441286652
28.833088072887467,77.18632075653308,28.4582733438576,77.0441826182568,REST_0007,4.183574518231304,32,2025-09-23 02:04:06,clear,RIDER_0007,308,4.970942965406368,138.98047278483207
28.700557505871604,77.25776932710694,28.75478385819903,77.2121531445945,REST_0008,4.264359786239062,26,2025-09-16 14:20:06,clear,RIDER_0008,882,4.651237243243425,46.78380774156416
28.75403628889802,77.25569194151299,28.515172077816057,76.98192088283056,REST_0009,3.963318812189534,13,2025-09-03 22:31:06,cloudy,RIDER_0009,342,4.970722118410938,105.63296643370411
